Date,Open,High,Low,Close,Adj Close,Volume,rsi,macd_decision,obv,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,Sentiment score
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,41.37303161621094,118071600,0.0,0.00047861300302542986,-118071600,1.0,1,1,1.0
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,41.565216064453125,89738400,81.2182190672042,-0.012011163631837008,-28333200,1.0,1,1,0.12493626434360702
2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,42.0384521484375,94640000,80.85233553619037,-0.05061380250442425,66306800,2.0,1,0,0.1275125536841749
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.88230514526367,82271200,80.85233553619037,-0.06164401242769076,-15964400,3.0,1,0,0.13569617092840264
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.877506256103516,86336000,80.85233553619037,-0.06472475355652604,-102300400,4.0,1,0,0.10684339759153437
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.867889404296875,95839600,77.30244481286337,-0.062194746821620905,-198140000,5.0,1,1,0.10985660662018937
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,42.105709075927734,74670800,69.22681144704661,-0.07257217715145114,-123469200,6.0,1,1,0.12339435512541827
2018-01-12,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,42.54050064086914,101672400,71.42339638842893,-0.10341282474867713,-21796800,7.0,1,0,0.12774175218333514
2018-01-16,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,42.324310302734375,118263600,59.300458204610266,-0.10199067312882745,-140060400,8.0,1,1,0.1547896521512574
2018-01-17,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,43.02334976196289,137547200,58.062369306490545,-0.14097520399236269,-2513200,9.0,1,1,0.1348701633162626
2018-01-18,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,43.06178665161133,124773600,54.033800290098476,-0.1590460287762433,122260400,10.0,1,0,0.11871421651325545
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.86960983276367,129700400,47.56403089392718,-0.14738288764620905,-7440000,11.0,1,0,0.10807511947117117
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,42.51889419555664,108434400,45.73246277878556,-0.106828342039199,-115874400,12.0,1,1,0.11103775847795708
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,42.52849578857422,130756400,38.90634468362759,-0.07397930065043151,14882000,13.0,1,0,0.10972735451011524
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.85107421875,204420400,38.90634468362759,-0.0018839113422837173,-189538400,14.0,0,0,0.1113526527927368
2018-01-25,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,41.1039924621582,166116000,33.442970100829555,0.09566217984515718,-355654400,1.0,0,1,0.10577407576215836
2018-01-26,43.0,43.0,42.51499938964844,42.877498626708984,41.20008087158203,156572000,25.94035764586475,0.14782880480307825,-199082400,2.0,0,0,0.1229773267809266
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,40.34729766845703,202561600,25.94035764586475,0.23150051793015386,-401644000,3.0,0,0,0.13398792919711322
2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,40.10948181152344,184192800,25.598338223924202,0.2891621415484703,-585836800,4.0,0,1,0.0965892800659418
