Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_Close_ema_50_derivative_distance,Close_ema_50_derivative,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,revenue,eps,pe_ratio,debt_to_equity,price_to_book,Score,Frequency
2018-01-02,1172.81,1189.75,1170.5,1186.0,20816,39.978958442924814,2.51035434196036,530396,0.047571697043795,2.1982824505494136,46.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0,0.0
2018-01-03,1186.6,1204.8,1186.47,1201.29,20618,43.23541110290368,1.1690756006001806,551014,0.0585416721165925,2.711683138763192,47.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0,0.0
2018-01-04,1207.03,1215.74,1204.66,1209.49,22521,43.161452199293485,-0.118903667446931,573535,0.0630256140443033,2.9269112509687147,48.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.1011956430032402,502.0
2018-01-05,1213.97,1228.9,1209.97,1228.06,22653,37.289359653346246,-1.9674760249669705,596188,0.0759987390859178,3.54036571171514,49.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.1011956430032402,502.0
2018-01-08,1230.61,1252.01,1229.99,1245.5,27437,43.92057491795799,-3.9939138169192567,623625,0.0873868896742818,4.085449409294597,50.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.13987630696799724,293.0
2018-01-09,1254.52,1258.8,1241.72,1251.48,28101,49.08048249950568,-5.285151634939176,651726,0.0886541044051468,4.159745510891071,51.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.13987630696799724,293.0
2018-01-10,1244.46,1254.65,1237.12,1253.73,20801,47.26062467997957,-5.797805716706325,672527,0.0867497222368451,4.0848535300717685,52.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.099219320155704,560.0
2018-01-11,1260.01,1276.98,1256.31,1276.48,23660,57.563686892079645,-7.090632158434907,696187,0.1018691070812386,4.816820058304302,53.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.099219320155704,560.0
2018-01-12,1282.0,1305.5,1271.97,1304.84,31234,62.43234377562735,-9.146539531608225,727421,0.1207962928862743,5.740082016802262,54.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.1231135525683608,591.0
2018-01-16,1319.1,1339.4,1292.28,1306.27,46563,65.78068823831555,-9.833500687191982,773984,0.1166809665847536,5.571059192613802,55.0,1,0,60453.0,3.75,1169.47,3.74,20.43,0.12514408919521253,250.25
2018-01-17,1310.55,1315.8,1280.72,1294.9,34526,66.37047163362973,-8.787142601515821,739458,0.1023373663203906,4.906703930158301,56.0,1,0,60453.0,3.75,1169.47,3.74,20.43,0.12514408919521253,250.25
