,Date,Score
0,01/03/18,0.12493626434360702
1,01/01/18,0.1266550728805067
2,01/02/18,0.14111852173829798
3,01/04/18,0.12782761316200308
4,12/21/17,0.11587769400025894
5,12/29/17,0.1278812157288629
6,12/31/17,0.10979656648896713
7,01/06/18,0.11711065475874309
8,01/05/18,0.12941943338267384
9,01/08/18,0.10684339759153438
10,01/07/18,0.13569617092840264
11,12/07/17,0.05329768270944741
12,12/12/17,0.04215686274509805
13,01/09/18,0.10985660662018937
14,12/28/17,0.06761797938437575
15,01/10/18,0.12339435512541828
16,01/15/18,0.1547896521512574
17,01/16/18,0.13487016331626261
18,01/14/18,0.13963970818829563
19,01/13/18,0.13035227072408445
20,12/22/17,0.10065473597068299
21,12/15/17,0.0765239790931035
22,01/12/18,0.10469208430199914
23,12/30/17,0.10875620563488016
24,12/27/17,0.08452789648622981
25,01/11/18,0.12774175218333517
26,01/17/18,0.11912121468580382
27,12/26/17,0.18253124190624193
28,01/19/18,0.10716043784501054
29,01/18/18,0.10807511947117118
30,12/18/17,0.06727272727272728
31,12/08/17,0.3047603586889301
32,12/13/17,0.04560543623043624
33,12/14/17,0.20320423623995051
34,01/20/18,0.12970020692427883
35,01/21/18,0.11103775847795709
36,01/22/18,0.10972735451011524
37,01/23/18,0.1113526527927368
38,01/24/18,0.10577407576215835
39,01/25/18,0.12297732678092661
40,01/26/18,0.10542372785033044
41,01/27/18,0.1491853075237221
42,01/29/18,0.0965892800659418
43,01/28/18,0.13398792919711322
44,01/30/18,0.10133009200533238
45,01/31/18,0.10654529213358846
46,02/01/18,0.10649567023618367
47,02/02/18,0.11130592836032678
48,02/03/18,0.10938572995493633
49,02/06/18,0.10348438893717048
50,02/05/18,0.1058319432968699
51,02/04/18,0.11993155902294332
52,02/07/18,0.13026737823216442
53,02/08/18,0.1162435353995397
54,02/09/18,0.11062669915439458
55,02/10/18,0.1081802975302179
56,02/11/18,0.13712286786915417
57,02/12/18,0.12903690899656656
58,02/13/18,0.13058838835529413
59,02/15/18,0.12007228984271981
60,02/14/18,0.1398220211180427
61,02/16/18,0.14098143889361825
62,02/17/18,0.13562669060381832
63,02/18/18,0.13535066820128747
64,02/19/18,0.12873481768905795
65,02/20/18,0.10897352885801047
66,02/21/18,0.11619218780882973
67,02/22/18,0.10620493462791705
68,02/23/18,0.1102255519628072
69,02/24/18,0.1342807403764816
70,02/25/18,0.10247379683470867
71,02/27/18,0.10648614808819219
72,02/26/18,0.10872534099212673
73,02/28/18,0.10202912812463646
74,03/01/18,0.07858838383838383
75,04/03/18,0.10877167146197066
76,04/02/18,0.09491399353291928
77,04/01/18,0.11412004406639352
78,04/04/18,0.11599549893159496
79,04/05/18,0.11706041687129963
80,04/06/18,0.11350689241793023
81,04/07/18,0.12214372913579893
82,03/31/18,0.1293586393024578
83,03/29/18,0.050200165656196664
84,03/06/18,0.002971195471195469
85,03/23/18,0.1040974344283168
86,03/30/18,0.09566101965471399
87,03/28/18,0.057987382987382985
88,03/22/18,0.04536771368166717
89,04/08/18,0.11875569296300136
90,04/09/18,0.09813987369977424
91,04/10/18,0.10073822480068766
92,03/14/18,0.12121861471861485
93,04/11/18,0.09868689600377571
94,04/12/18,0.11792939618043861
95,04/13/18,0.1370849175338373
96,04/15/18,0.08964580981610006
97,04/14/18,0.10886724543293508
98,04/16/18,0.1051740957175555
99,03/26/18,0.04575
100,04/17/18,0.1005279223250434
101,03/15/18,0.2866028708133972
102,04/18/18,0.12105997902652409
103,04/19/18,0.09924585010318303
104,04/20/18,0.0882893637387058
105,04/21/18,0.09323627518034583
106,03/20/18,0.14227855477855475
107,04/22/18,0.0810708187671308
108,04/23/18,0.08557053202870687
109,04/25/18,0.11606777154006058
110,04/24/18,0.09236078513518504
111,04/26/18,0.09215203179686746
112,04/27/18,0.10208883364047897
113,04/28/18,0.09911380986814548
114,04/29/18,0.07683520797806545
115,05/01/18,0.11048936189674105
116,04/30/18,0.09060775765362299
117,05/02/18,0.12490075921623207
118,05/04/18,0.12013926544185916
119,05/03/18,0.09966057772424876
120,05/05/18,0.1112967376986571
121,05/06/18,0.10305057179601824
122,05/08/18,0.09873559528806788
123,05/07/18,0.10851884257531585
124,05/09/18,0.12281530666094259
125,05/10/18,0.10886501031488445
126,05/11/18,0.106999907753668
127,05/12/18,0.08976211179273162
128,05/13/18,0.0986595544454654
129,05/14/18,0.10226355212858983
130,05/15/18,0.08532158195480853
131,05/17/18,0.09548419258093854
132,05/18/18,0.10093489737780618
133,05/16/18,0.08704452745253757
134,05/19/18,0.08784840319939552
135,05/20/18,0.07308498671023497
136,05/21/18,0.08736783415525597
137,05/22/18,0.094336921201125
138,05/24/18,0.09284430260068571
139,05/23/18,0.08656149620454869
140,05/25/18,0.09838831572935487
141,05/26/18,0.0865503580541283
142,05/29/18,0.09092295461173103
143,05/27/18,0.0861784942750698
144,05/28/18,0.08930801115187363
145,05/30/18,0.11362375284264656
146,05/31/18,0.08764140385988707
147,06/01/18,0.09594445411513927
148,06/04/18,0.10011263816018053
149,06/05/18,0.09938520162133256
150,06/03/18,0.08297861511115147
151,06/02/18,0.09478225295848534
152,06/07/18,0.0920484778123084
153,06/06/18,0.12760565726784592
154,06/08/18,0.09906217061407838
155,06/09/18,0.12316305865010095
156,06/10/18,0.09185528342408641
157,06/11/18,0.0927610770272649
158,06/12/18,0.09195687906550304
159,06/13/18,0.0912662220285064
160,06/15/18,0.09517462397372504
161,06/14/18,0.09843967321304148
162,06/16/18,0.09388415974145814
163,06/18/18,0.09457958187960959
