Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_Close_ema_50_derivative_distance,Close_ema_50_derivative,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,Sentiment score,Score,Frequency
2018-01-03,1186.6,1204.8,1186.47,1201.29,20618,43.235411102903676,1.1690747007336295,364555,0.058534547517988714,2.7113713724534136,47.0,1,1,0.13619580936027215,0.10119564300324026,502.0
2018-01-04,1207.03,1215.74,1204.66,1209.49,22521,43.161452199293485,-0.11890450065666514,387076,0.06301875752748137,2.9266117107886203,48.0,1,1,0.11795175299905368,0.1076878819442409,469.0
2018-01-05,1213.97,1228.9,1209.97,1228.06,22653,37.289359653346246,-1.9674767964575217,409729,0.07599209173921667,3.540077918208681,49.0,1,1,0.12555581860066548,0.13064178403222818,562.0
2018-01-08,1230.61,1252.01,1229.99,1245.5,27437,43.920574917957985,-3.993914531262284,437166,0.08738045843211438,4.0851729018083915,50.0,1,1,0.1197698171739073,0.11600454519960028,542.0
2018-01-09,1254.52,1258.8,1241.72,1251.48,28101,49.08048249950568,-5.285152296367897,465267,0.08864794055121256,4.159479846835438,51.0,1,1,0.10981599023258534,0.09921932015570402,560.0
2018-01-10,1244.46,1254.65,1237.12,1253.73,20801,47.260624679979564,-5.797806329140279,486068,0.08674383139327926,4.084598284214508,52.0,1,1,0.10596654729499656,0.12509616706785978,446.0
2018-01-11,1260.01,1276.98,1256.31,1276.48,23660,57.563686892079645,-7.090632725503401,509728,0.10186339236806959,4.8165748220883415,53.0,1,1,0.12702950572689622,0.12311355256836085,591.0
2018-01-12,1282.0,1305.5,1271.97,1304.84,31234,62.432343775627345,-9.146540056671633,540962,0.1207907355004244,5.739846397692872,54.0,1,1,0.11386879410484822,0.11932717438890805,664.0
2018-01-16,1319.1,1339.4,1292.28,1306.27,46563,65.78068823831555,-9.833501173361885,587525,0.11667567207547358,5.5708328134696785,55.0,1,0,0.14376230346639216,0.1171270194543376,581.0
2018-01-17,1310.55,1315.8,1280.72,1294.9,34526,66.37047163362973,-8.787143051673105,552999,0.10233236575328856,4.906486428627659,56.0,1,0,0.13139754132075965,0.11037862510688892,450.0
2018-01-18,1294.0,1304.41,1283.99,1291.0,27533,67.36456172511959,-7.16591610535318,525466,0.09476156323169466,4.561134019661949,57.0,1,1,0.11590530235529672,0.11590649636375715,754.0
2018-01-19,1297.0,1318.28,1292.96,1294.01,26279,67.39130434782629,-5.69400739695093,551745,0.09314233864006535,4.500305234577127,58.0,1,1,0.10546736580722042,0.09826566551619163,683.0
2018-01-22,1295.0,1337.0,1294.32,1335.0,27205,71.01335428122565,-6.8036654311667775,578950,0.12214691429024055,5.931273656750363,59.0,1,1,0.0971259642816042,0.0946717614773896,627.0
2018-01-23,1334.79,1365.85,1333.82,1360.37,34834,71.9860309747952,-8.460890540030768,613784,0.13707433103434571,6.6935766506032905,60.0,1,0,0.10542882396739116,0.11405571919080988,607.0
