Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,revenue,eps,pe_ratio,debt_to_equity,price_to_book
2014-09-30,320.81,323.38,318.6,322.44,8364,14.785373608903086,-0.03956695156693968,8364,2.0,0,0,20579.0,-0.95,322.44,2.91,14.44
2014-10-01,321.27,321.47,315.52,317.46,12002,12.2711528946067,0.2556095616107541,-3638,1.0,0,1,20579.0,-0.95,322.44,2.91,14.44
2014-10-02,316.16,318.4,311.31,318.4,15487,15.169194865810994,0.3667399971589475,11849,2.0,1,1,20579.0,-0.95,322.44,2.91,14.44
2014-10-03,321.29,325.1,319.5,322.61,11113,30.169934640522996,0.14716864042706218,22962,1.0,1,0,20579.0,-0.95,322.44,2.91,14.44
2014-10-06,323.06,323.44,319.62,322.2,14563,30.169934640522996,0.026332280133676222,8399,2.0,0,0,20579.0,-0.95,322.44,2.91,14.44
2014-10-07,319.08,321.77,316.65,316.87,14084,31.631294541467753,0.28763843386238075,-5685,1.0,1,1,20579.0,-0.95,322.44,2.91,14.44
2014-10-08,316.22,323.99,314.07,322.45,16350,41.25772446383135,0.07785971325826946,10665,1.0,0,0,20579.0,-0.95,322.44,2.91,14.44
2014-10-09,321.46,322.03,314.49,315.44,19571,41.25772446383135,0.3870979964583675,-8906,1.0,0,0,20579.0,-0.95,322.44,2.91,14.44
2014-10-10,313.8,317.6,311.34,311.36,18916,41.25772446383135,0.8175672711937425,-27822,2.0,0,0,20579.0,-0.95,322.44,2.91,14.44
2014-10-13,310.03,313.08,303.46,306.46,21779,42.07933901806051,1.3519229552330594,-49601,3.0,0,1,20579.0,-0.95,322.44,2.91,14.44
2014-10-14,307.96,312.13,305.71,308.3,21847,41.63838686765061,1.4901684600596883,-27754,4.0,0,0,20579.0,-0.95,322.44,2.91,14.44
