Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_Close_ema_50_derivative_distance,Close_ema_50_derivative,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,revenue,eps,pe_ratio,debt_to_equity,price_to_book,Score,Frequency
2018-01-02 13:30:00,1172.81,1175.49,1172.12,1173.52,149,38.93167094487202,1.6745695587113845,7407,-0.0041578596459443,-0.1999879074339787,7.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0679889807162534,22.0
2018-01-02 14:30:00,1174.6,1184.95,1170.5,1183.39,4984,56.99926590998937,0.7994249876684206,12391,0.0040516913829122,0.1949135791321623,1.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.1999004787100025,63.0
2018-01-02 15:30:00,1183.39,1184.5,1181.59,1183.59,3013,58.05672902836425,0.1924654922454384,15404,0.004055166426787,0.1951130466170525,2.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0722978080120937,56.0
2018-01-02 16:30:00,1183.59,1187.89,1183.14,1187.16,2732,59.08336100963143,-0.4300871685387457,18136,0.006803964918206,0.3274615545929009,3.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0830566200648167,61.0
2018-01-02 17:30:00,1187.16,1188.13,1184.98,1187.93,2321,56.18283638565128,-0.8501083697389602,20457,0.0071624594757655,0.3448160034322427,4.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0833600713012477,34.0
2018-01-02 18:30:00,1187.93,1188.94,1186.28,1187.98,2721,55.23724261414503,-1.0732822834570002,23178,0.0069203524924799,0.3332545915329774,5.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0980126600829725,48.0
2018-01-02 19:30:00,1188.05,1189.24,1187.22,1189.09,2382,49.75906670048137,-1.226577481832245,25560,0.0075505685706367,0.3637151957868809,6.0,1,0,60453.0,3.75,1169.47,3.74,20.43,0.1347777566527566,37.0
2018-01-02 20:30:00,1189.06,1189.75,1183.07,1185.6,2464,44.54029511918255,-1.031681195845892,23096,0.0044124622146851,0.2125891096773102,7.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0961091328026811,31.0
2018-01-02 21:30:00,1185.6,1186.0,1185.27,1186.0,50,58.16385822196457,-0.8746613205315276,23146,0.0045641556144693,0.2199385563567375,8.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0952537697014441,43.0
2018-01-03 13:30:00,1186.6,1188.38,1186.47,1187.24,125,56.75387079551583,-0.8012261944970853,23271,0.0053930965005477,0.2599409659112552,9.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.08644566083780271,18.846923828125
2018-01-03 14:30:00,1188.87,1198.14,1188.87,1196.55,5024,60.53065804237423,-1.297212351097922,28295,0.0127497953471498,0.6148452417580756,10.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0932393763643763,52.0
2018-01-03 15:30:00,1196.54,1199.0,1196.52,1198.6,2554,65.89233410766627,-1.6578274735602885,30849,0.0139089620050391,0.6711258205125432,11.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.078691378066378,46.0
2018-01-03 16:30:00,1198.61,1200.75,1197.99,1200.34,2818,65.10041682455517,-1.8911286138500485,33667,0.014768768635691,0.7130424550020962,12.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0818700518700518,37.0
2018-01-03 17:30:00,1200.36,1204.17,1199.82,1203.32,2738,65.17148093201892,-2.107225423796835,36405,0.0165988472430863,0.8019427508845638,13.0,1,0,60453.0,3.75,1169.47,3.74,20.43,0.1207289451532872,38.0
2018-01-03 18:30:00,1203.32,1204.62,1201.19,1203.21,2605,52.77927513714077,-2.09921136674226,33800,0.0158483667939526,0.7661802900656767,14.0,1,1,60453.0,3.75,1169.47,3.74,20.43,0.0585716031280547,31.0
2018-01-03 19:30:00,1203.2,1204.32,1201.89,1203.83,2526,47.32283464566945,-1.9929514373686563,36326,0.0157196967729029,0.7604477296708865,15.0,1,0,60453.0,3.75,1169.47,3.74,20.43,0.144674012855831,33.0
