Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,revenue,eps,pe_ratio,debt_to_equity,price_to_book
2017-05-12 13:00:00,154.75,155.02,154.66,154.68,351,0.0,0.005105413105388834,-351,1.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-12 13:30:00,154.68,155.91,154.6,155.59,4762,91.0000000000007,-0.050047957402962306,4411,1.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-12 14:00:00,155.56,156.41,155.55,155.79,4484,86.26943005181393,-0.09465452452600039,8895,2.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-12 14:30:00,155.79,156.22,155.41,155.74,3760,86.26943005181393,-0.11414205689275768,5135,3.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-12 15:00:00,155.75,156.26,155.69,156.22,3554,87.2941176470594,-0.15042710524970557,8689,4.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-12 15:30:00,156.25,156.39,155.94,156.1,3248,87.2941176470594,-0.1567049369225409,5441,5.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-12 16:00:00,156.12,156.19,155.82,156.01,2865,82.97455968688908,-0.14540309986936395,2576,6.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-12 16:30:00,156.01,156.23,155.87,155.9,2809,82.97455968688908,-0.12206737165423193,-233,7.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-12 17:00:00,155.9,155.97,155.66,155.82,2638,82.44444444444488,-0.09404864471037488,-2871,8.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-12 17:30:00,155.84,156.03,155.64,155.97,2627,78.0269058295969,-0.07902719964593397,-244,9.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-12 18:00:00,155.96,156.18,155.89,155.96,2868,75.21613832853058,-0.06254870285199454,-3112,10.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-12 18:30:00,155.94,156.05,155.89,155.98,2462,71.06325706594855,-0.047792753061557114,-650,11.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-12 19:00:00,155.99,156.03,155.62,155.65,3588,71.06325706594855,-0.01244488194482729,-4238,12.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-12 19:30:00,155.65,156.11,155.5,156.07,4856,65.92741935483822,-0.013878270746076615,618,13.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-15 12:30:00,156.47,156.47,156.13,156.18,141,62.988997555012,-0.01847519291314964,759,14.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 13:00:00,156.19,156.26,155.87,155.99,208,54.046997389033486,-0.005626570402983089,551,15.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 13:30:00,156.0,156.64,155.39,155.68,4034,52.9147982062779,0.025153979261436532,-3483,16.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 14:00:00,155.65,155.76,155.03,155.63,3636,52.9147982062779,0.04891042259164685,-7119,17.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-15 14:30:00,155.67,155.93,155.39,155.91,3169,47.25738396624446,0.04584763432959604,-3950,18.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 15:00:00,155.89,155.97,155.31,155.39,2962,47.62419006479458,0.07708526272359029,-6912,19.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 15:30:00,155.38,155.57,155.12,155.26,2756,49.33920704845767,0.10311961787456703,-9668,1.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 16:00:00,155.26,155.39,155.07,155.12,2599,49.33920704845767,0.12493104441430064,-12267,2.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-15 16:30:00,155.13,155.36,155.04,155.17,2505,46.033519553071756,0.13054213084481378,-9762,3.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-15 17:00:00,155.15,155.51,155.08,155.47,2468,52.56124721603489,0.10945306764849468,-7294,1.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 17:30:00,155.47,155.52,155.24,155.39,2406,55.361930294905406,0.09673563804416829,-9700,2.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 18:00:00,155.41,155.43,155.18,155.2,2336,56.769983686786176,0.09673151779744762,-12036,1.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-15 18:30:00,155.19,155.38,155.17,155.35,2749,56.01710445937719,0.08277759315462555,-9287,1.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-15 19:00:00,155.36,155.54,155.31,155.44,3610,49.63820549927694,0.06445208210660208,-5677,2.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-15 19:30:00,155.42,155.68,155.31,155.59,4534,41.46341463414689,0.040371239800598195,-1143,3.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-15 20:00:00,155.67,155.67,155.5,155.59,84,36.21301775147965,0.023426060257650323,-1143,4.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-15 20:30:00,155.64,155.68,155.56,155.6,31,33.40540540540556,0.011150100837939332,-1112,5.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-16 12:30:00,155.96,156.16,155.88,156.07,65,39.3700787401576,-0.02693729447987482,-1047,6.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 13:00:00,156.08,156.12,155.87,155.93,139,38.36477987421383,-0.04021602309727214,-1186,7.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 13:30:00,155.9,156.03,155.17,155.45,3791,41.309255079007066,-0.015459401004897809,-4977,8.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 14:00:00,155.45,155.69,154.77,154.8,3220,42.7427427427426,0.04272349695771055,-8197,1.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-16 14:30:00,154.78,155.12,154.69,154.94,3346,45.46594233180102,0.06829396349976764,-4851,2.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-16 15:00:00,154.93,155.37,154.76,155.09,3047,47.23008491710506,0.07128931133040478,-1804,3.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-16 15:30:00,155.11,155.44,154.97,155.3,2765,42.35865724381652,0.055986448432680594,961,4.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 16:00:00,155.3,155.43,155.19,155.29,2371,44.80784955028627,0.04392910450455108,-1410,5.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 16:30:00,155.32,155.44,155.24,155.27,2350,44.80784955028627,0.035076108206028744,-3760,6.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 17:00:00,155.26,155.32,155.08,155.14,2605,45.864661654134856,0.03563562109222968,-6365,7.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 17:30:00,155.14,155.3,154.94,155.12,2417,56.85534591194985,0.03496421798601292,-8782,8.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-16 18:00:00,155.13,155.34,155.07,155.3,2439,41.48413053196195,0.020713273353951775,-6343,9.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-16 18:30:00,155.31,155.36,155.22,155.34,2238,42.309387395327676,0.007585256433756696,-4105,1.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 19:00:00,155.31,155.35,155.17,155.29,3286,40.52213393870567,0.0015755625984298222,-7391,1.0,1,1,52896.0,0.53,34.11,1.5,5.3
2017-05-16 19:30:00,155.3,155.47,155.25,155.46,4061,30.881332408050184,-0.013700943216476802,-3330,1.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 20:00:00,155.46,155.46,155.27,155.38,64,23.237597911227425,-0.017999244398753916,-3394,2.0,1,0,52896.0,0.53,34.11,1.5,5.3
2017-05-16 20:30:00,155.4,155.48,155.34,155.36,21,21.480289621882733,-0.018979331460049778,-3415,3.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 12:30:00,154.07,154.07,153.77,153.82,168,19.98877035373411,0.07921785832680446,-3583,1.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-17 13:00:00,153.85,153.96,153.48,153.94,342,17.417417417417894,0.1283119094465898,-3241,2.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 13:30:00,153.97,154.54,153.19,153.19,4572,17.31809981960359,0.19928439197688777,-7813,3.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 14:00:00,153.18,153.22,152.25,152.49,3815,16.709137240626603,0.2766042640176116,-11628,4.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 14:30:00,152.51,152.68,149.98,150.9,4584,15.305101700567363,0.4100166051054696,-16212,5.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-17 15:00:00,150.9,151.97,150.75,151.65,4246,27.12594187298197,0.4213250796128599,-11966,6.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-17 15:30:00,151.66,152.44,151.52,152.31,3485,31.90428713858448,0.36029171183444364,-8481,7.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 16:00:00,152.29,152.38,151.51,151.54,3027,29.721362229102326,0.3475534303659128,-11508,8.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-17 16:30:00,151.54,152.17,151.49,151.89,2942,35.08673754896485,0.2934854070823175,-8566,9.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 17:00:00,151.88,152.13,151.67,151.67,3125,38.88303477344593,0.25205419321020117,-11691,10.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 17:30:00,151.7,151.77,150.98,150.99,3448,39.375750300120266,0.24949702221899928,-15139,11.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 18:00:00,151.0,151.34,150.47,150.57,3984,43.06282722513086,0.254278152544813,-19123,12.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 18:30:00,150.55,150.77,149.88,150.43,4532,50.53763440860217,0.24495965600370895,-23655,13.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-17 19:00:00,150.43,150.97,150.27,150.62,5204,47.368421052631575,0.20567413581824856,-18451,14.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-17 19:30:00,150.62,150.81,149.68,150.09,5866,47.368421052631575,0.1951452226441739,-24317,15.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-17 20:00:00,150.19,150.5,150.04,150.25,187,50.92518101367673,0.15871337319316758,-24130,16.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-17 20:30:00,150.27,150.43,150.27,150.34,67,47.413793103448455,0.11206137944136696,-24063,17.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-18 12:30:00,150.57,151.25,150.43,151.03,482,44.021325209444086,0.022903162998110016,-23581,18.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-18 13:00:00,151.0,151.59,150.91,151.22,382,43.79977246871433,-0.056366678345314725,-23199,19.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-18 13:30:00,151.21,152.71,151.11,152.28,4885,45.26034712950611,-0.18067611813501272,-18314,20.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-18 14:00:00,152.32,153.33,152.32,153.06,4543,47.62550881953852,-0.3084182561342471,-13771,21.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-18 14:30:00,153.04,153.18,152.37,152.61,3825,47.62550881953852,-0.3524168148229603,-17596,22.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-18 15:00:00,152.6,152.86,152.28,152.62,3436,45.91984548527261,-0.37017293938042806,-14160,23.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-18 15:30:00,152.64,152.74,151.68,151.69,3166,46.686303387334185,-0.3097177062392946,-17326,24.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-18 16:00:00,151.71,152.28,151.53,152.2,3158,51.96272239480339,-0.29460179911270434,-14168,25.0,0,1,52896.0,0.53,34.11,1.5,5.3
2017-05-18 16:30:00,152.21,152.51,151.94,152.21,2761,53.685741998060166,-0.2761158149919021,-11407,26.0,0,0,52896.0,0.53,34.11,1.5,5.3
2017-05-18 17:00:00,152.2,152.3,151.88,152.19,2791,56.36046257909665,-0.25394274402524797,-14198,27.0,0,1,52896.0,0.53,34.11,1.5,5.3
