Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_Close_ema_50_derivative_distance,Close_ema_50_derivative,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,revenue,eps,pe_ratio,debt_to_equity,price_to_book,Sentiment score,Score,Frequency
2018-01-02 13:30:00,169.99,170.28,169.92,170.07,207,47.2239170225746,-0.0119479869791271,405923,-0.0074625993403841,-0.0521921120790978,36.0,1,1,88293.0,0.97,40.65,1.9,5.89,0.1616396891521856,0.1623882767064585,55.0
2018-01-02 14:30:00,170.01,171.57,169.25,171.54,9150,66.0919540229886,-0.1290963242867548,415073,0.0010725701711961,0.0075016962377389,1.0,0,0,88293.0,0.97,40.65,1.9,5.89,0.1297346729563505,0.1294558521725188,75.0
2018-01-02 15:30:00,171.52,171.58,171.14,171.25,6873,69.52141057934516,-0.1813571909196912,408200,-0.0005955190448839,-0.0041650369480521,1.0,0,1,88293.0,0.97,40.65,1.9,5.89,0.1349551506940158,0.0877086419753086,75.0
2018-01-02 16:30:00,171.26,171.49,171.07,171.34,5774,66.87524442706308,-0.2140456095548816,413974,-6.752850149689807e-05,-0.0004722904010634,2.0,1,1,88293.0,0.97,40.65,1.9,5.89,0.1317850787205626,0.0911498828748006,57.0
2018-01-02 17:30:00,171.36,171.58,171.19,171.51,5073,67.02997275204356,-0.2373703759107187,419047,0.0008882933949751,0.0062128974577717,1.0,1,1,88293.0,0.97,40.65,1.9,5.89,0.1255906857900191,0.1220553587826315,55.0
2018-01-02 18:30:00,171.53,172.1,171.46,171.87,5419,68.0,-0.2651878046508193,424466,0.0028716022880473,0.0200869014790612,2.0,1,0,88293.0,0.97,40.65,1.9,5.89,0.160860544217687,0.1163300198659787,73.0
2018-01-02 19:30:00,171.86,172.08,171.67,171.85,4832,60.82862523540501,-0.2695077826559082,419634,0.0026465798449929,0.0185148661269352,3.0,1,1,88293.0,0.97,40.65,1.9,5.89,0.1358518842268842,0.1004241981215665,57.0
2018-01-02 20:30:00,171.85,172.24,171.8,172.12,3763,69.37561942517324,-0.2767664131306568,423397,0.0040556403898792,0.0283770282395892,4.0,1,0,88293.0,0.97,40.65,1.9,5.89,0.1905016328700539,0.1764537617554858,58.0
2018-01-02 21:30:00,172.12,172.18,172.09,172.09,17,66.21621621621611,-0.2657103188535855,423380,0.0037278873615282,0.0260877330145206,5.0,1,1,88293.0,0.97,40.65,1.9,5.89,0.1694686751027214,0.1291599267940731,41.0
2018-01-03 13:30:00,172.5,172.69,172.42,172.49,170,63.494809688581086,-0.2705904765257797,423550,0.0058218506967699,0.0407509591707935,6.0,1,1,88293.0,0.97,40.65,1.9,5.89,0.1300010268653389,0.14267914836645723,34.86871337890625
