Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_Close_ema_50_derivative_distance,Close_ema_50_derivative,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,revenue,eps,pe_ratio,debt_to_equity,price_to_book
2017-05-12 18:30:00,960.65,962.14,960.47,961.89,1017,52.162849872773464,-0.07849572649574839,1017,0.0012300974036310909,0.048235294117716876,2.0,1,0,35714.0,1.48,886.54,2.74,19.55
2017-05-12 19:00:00,961.91,962.76,960.63,961.74,1384,52.162849872773464,-0.11382889424607129,-367,0.0010318029556724494,0.04046136101510456,3.0,1,0,35714.0,1.48,886.54,2.74,19.55
2017-05-12 19:30:00,961.77,962.27,961.13,961.34,2110,53.711790393013416,-0.10404252830399127,-2477,0.0005913109940649832,0.02318836646543332,4.0,0,0,35714.0,1.48,886.54,2.74,19.55
2017-05-15 12:30:00,962.39,962.5,959.97,960.2,121,57.24734042553204,-0.019026925035415476,-2598,-0.0005719057693350971,-0.022426863592045265,1.0,0,0,35714.0,1.48,886.54,2.74,19.55
2017-05-15 13:00:00,960.1,960.7,958.09,958.68,372,55.87734241908013,0.1329783268136368,-2970,-0.002069708066818423,-0.08115522188256818,2.0,0,1,35714.0,1.48,886.54,2.74,19.55
2017-05-15 13:30:00,958.66,963.0,957.0,959.97,2512,58.06451612903302,0.13937230627582956,-458,-0.0006984071720561062,-0.027384428867549104,3.0,0,0,35714.0,1.48,886.54,2.74,19.55
2017-05-15 14:00:00,959.98,960.64,956.05,957.54,1887,60.54781355117812,0.2912488299198104,-2345,-0.00310177402673993,-0.12160464734336074,4.0,0,1,35714.0,1.48,886.54,2.74,19.55
2017-05-15 14:30:00,957.56,961.01,957.09,960.16,1727,67.60489280547185,0.2034063581819181,-618,-0.0003594182644700641,-0.01409073960439855,5.0,0,0,35714.0,1.48,886.54,2.74,19.55
2017-05-15 15:00:00,960.15,961.05,958.47,959.44,1424,68.81694255112,0.1826049047044499,-2042,-0.0010655789816543827,-0.04177345569837598,6.0,0,0,35714.0,1.48,886.54,2.74,19.55
2017-05-15 15:30:00,959.46,959.54,957.72,959.37,1357,68.46694114797798,0.16301623423985517,-3399,-0.0010938637917627184,-0.04288037900425934,7.0,0,0,35714.0,1.48,886.54,2.74,19.55
2017-05-15 16:00:00,959.39,959.71,957.33,958.03,1068,67.41867785939161,0.22589146922262576,-4467,-0.002391708134286045,-0.09374781512167374,8.0,0,0,35714.0,1.48,886.54,2.74,19.55
2017-05-15 16:30:00,957.99,958.81,956.97,957.61,1015,68.35106382978735,0.2779303557703726,-5482,-0.002718417333909297,-0.10654201845034095,9.0,0,0,35714.0,1.48,886.54,2.74,19.55
