Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_Close_ema_50_derivative_distance,Close_ema_50_derivative,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,revenue,eps,pe_ratio,debt_to_equity,price_to_book
2014-07-01,93.973,94.546,93.611,93.993,4787,60.11278195488743,-0.03401481481481596,4787,0.005478103318157053,0.02090196078431461,2.0,1,0,37432.0,0.32,20.94,0.84,4.15
2014-07-02,94.344,94.515,93.54,93.902,4476,60.11278195488743,-0.04766659491399878,311,0.004327225388873735,0.01651364859669968,3.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-03,94.113,94.545,93.661,94.495,3454,61.41818181818208,-0.09138221071919497,3765,0.01024694166914231,0.039120956494869574,4.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-07,94.936,96.423,94.936,96.403,4638,64.71152820731594,-0.23536156087176796,8403,0.029408265598695964,0.11241033074998086,5.0,1,0,37432.0,0.32,20.94,0.84,4.15
2014-07-08,96.79,97.242,94.358,95.795,7421,64.53396860509655,-0.27353496306112823,982,0.02199750173244611,0.08415894523035661,6.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-09,95.905,96.388,95.202,95.835,6276,50.77075534023348,-0.28412053869026643,7258,0.021525933609348492,0.08242722188798268,7.0,1,0,37432.0,0.32,20.94,0.84,4.15
2014-07-10,94.017,95.986,93.956,95.473,5562,50.77075534023348,-0.25055741669611326,1696,0.01696270997722272,0.06499870338258518,8.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-11,95.725,96.327,95.303,95.644,4852,47.61555392516516,-0.22452592442906677,6548,0.018034254962135246,0.06915561697542216,9.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-14,96.145,97.3,96.064,96.868,4046,51.05678053238891,-0.27126798560398724,10594,0.029808057052288478,0.1144436319959965,10.0,1,0,37432.0,0.32,20.94,0.84,4.15
2014-07-15,97.24,97.26,95.432,95.723,5384,47.66424914675767,-0.20937048393883761,5210,0.016932211867220225,0.0650536856432069,11.0,1,0,37432.0,0.32,20.94,0.84,4.15
2014-07-16,97.45,97.45,95.14,95.15,4791,50.31281663637682,-0.11865108432117233,419,0.010415116111360236,0.0400319724807332,12.0,0,0,37432.0,0.32,20.94,0.84,4.15
2014-07-17,95.416,95.667,92.956,93.458,7639,50.31281663637682,0.05706005735929681,-7220,-0.007258510736595237,-0.02789084996949498,1.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-18,93.935,95.119,93.402,94.828,5756,52.42962541715937,0.08129156998282033,-1464,0.007006031726296755,0.026928399048927076,1.0,1,0,37432.0,0.32,20.94,0.84,4.15
2014-07-21,94.642,94.863,94.09,94.301,4238,53.120451237263566,0.13018515815963105,-5702,0.0013543100152247519,0.00520571673327197,2.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-22,95.028,95.249,94.486,95.038,4560,54.3875438754388,0.11101112944969382,-1142,0.008817108319250078,0.03390353176334315,3.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-23,95.64,98.251,95.54,97.588,7359,52.99414122725873,-0.06577566988812522,6217,0.03442934810415441,0.13257398149811195,4.0,1,0,37432.0,0.32,20.94,0.84,4.15
2014-07-24,97.507,97.658,96.784,97.346,5039,54.535848799359215,-0.1537548108054575,1178,0.03057637442698836,0.11788480575309279,5.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-25,97.19,98.194,97.01,98.034,6303,52.360266434984084,-0.24045900900472772,7481,0.03632141412100112,0.14024226435100218,6.0,1,1,37432.0,0.32,20.94,0.84,4.15
2014-07-28,98.258,99.573,97.897,99.362,5950,53.90240659486764,-0.36211417058853257,13431,0.04828949734218517,0.18682099908234306,7.0,1,0,37432.0,0.32,20.94,0.84,4.15
2014-07-29,99.573,99.753,98.599,98.75,5110,62.92371435534972,-0.37466695506399705,8321,0.04012644339303376,0.1554946853928385,8.0,1,0,37432.0,0.32,20.94,0.84,4.15
