Date_Time,Open,High,Low,Close,Volume,rsi,macd_decision,obv,Close_ema_50_Close_ema_50_derivative_distance,Close_ema_50_derivative,Close_ema_50_crossover_count,Close_ema_50_classification,Close_increase_decrease,Sentiment score,Score,Frequency
2018-01-02,169.99,172.24,169.25,172.09,41108,50.86177762757685,0.4974108358088827,1634431,0.01579313327576189,0.10920752831492564,1.0,1,0,0.0,0.14366437785447594,821.0
2018-01-03,172.5,174.54,171.83,171.85,43686,47.25274725274729,0.4243153827893742,1590745,0.013804921909958898,0.09551311543984298,2.0,1,1,0.13312208018341842,0.15156986164756084,802.0
2018-01-04,172.75,173.46,172.07,173.16,41074,49.071618037135345,0.2794616486338447,1631819,0.020671192702654335,0.14314005208925096,3.0,1,1,0.14169222573261012,0.16664562695486854,748.0
2018-01-05,173.54,175.21,173.03,174.95,43982,51.1786600496279,0.06595525789602152,1675801,0.029961054788055615,0.2077227951446048,4.0,1,0,0.12729681249746744,0.132278623603848,882.0
2018-01-08,174.53,175.57,173.91,174.17,40778,66.88256829062257,-0.01552785952225122,1635023,0.024349969229174897,0.16898856788401417,5.0,1,0,0.12490441545161406,0.14867059871831062,803.0
2018-01-09,174.6,175.04,173.37,174.02,47565,65.66037735849076,-0.05015960435246136,1587458,0.02252673462984492,0.1564792122806864,6.0,1,1,0.11584067673929585,0.13679534579300964,856.0
2018-01-10,173.15,174.28,172.97,174.08,49174,63.47197106690792,-0.06689774873329035,1636632,0.021962357270739905,0.152695713759897,7.0,1,1,0.10562929292677108,0.14615059296841193,802.0
2018-01-11,174.63,175.47,174.37,175.24,41227,64.14967510643075,-0.14159004652022467,1677859,0.027612826545980195,0.19219784263205497,8.0,1,1,0.12243742762346815,0.14524595799863813,723.0
2018-01-12,176.31,177.33,175.58,176.98,48792,67.0378619153675,-0.28538292388790554,1726651,0.03627944893433192,0.25289596645041,9.0,1,0,0.12985289520613208,0.14229014691536568,823.0
2018-01-16,178.27,179.38,176.12,176.19,64553,57.515923566878975,-0.30283971072881033,1662098,0.030374696880771497,0.2119980854131427,10.0,1,1,0.10215626170334492,0.14596629688753834,826.0
2018-01-17,175.3,179.24,175.05,179.13,58689,55.62267657992565,-0.47754602303306704,1720787,0.04561756634588523,0.31897855265185626,11.0,1,0,0.13774378430577208,0.11942176030941393,1262.0
2018-01-18,179.08,180.09,178.22,178.85,54887,58.426293736736156,-0.535073596411743,1665900,0.04218555813299197,0.2954891976458782,12.0,1,0,0.12012009182294227,0.13083308843575925,1163.0
2018-01-19,178.81,179.55,177.39,178.45,49192,55.32844437509754,-0.5072624552863383,1616708,0.03823201532665863,0.2682151114636895,13.0,1,0,0.1154410123527262,0.1264606152272797,752.0
2018-01-22,177.38,177.77,176.6,177.09,44262,53.953441192879225,-0.3649994561597629,1572446,0.029095866398945045,0.2043635384651168,14.0,1,0,0.10405448305725473,0.1302184933838293,744.0
2018-01-23,177.59,179.43,176.49,176.65,54763,52.70555165144058,-0.21633825435154486,1517683,0.025471708975716535,0.17909438009394307,15.0,1,0,0.10847286328535606,0.13533833575258336,1055.0
2018-01-24,177.59,177.9,173.18,174.18,65992,52.70555165144058,0.058583087286203206,1451691,0.010691840708690562,0.07520832597262483,16.0,0,0,0.11277492179240407,0.11545626708154635,1120.0
2018-01-25,174.9,175.04,170.51,171.3,64700,42.98490776970368,0.4242617269483231,1386991,-0.005784868410868429,-0.04068219661456851,1.0,0,1,0.1111533839649534,0.13764964084194986,1222.0
2018-01-26,172.08,172.3,170.03,171.4,59291,33.63057324840756,0.6365121877329385,1446282,-0.005001398028082134,-0.03516524772771845,2.0,0,0,0.11504112181126205,0.18602432724476706,1208.0
2018-01-29,170.29,170.31,167.04,167.9,56798,33.63057324840756,0.9697631682279324,1389484,-0.024350601965689278,-0.1710411203658282,3.0,0,0,0.11235229290746493,0.10716722111511126,1601.0
2018-01-30,166.01,167.36,164.69,167.05,64970,30.762060125844712,1.1900582676989453,1324514,-0.0281736020905244,-0.197666958782861,4.0,0,0,0.09994686806245057,0.10724048339793177,1473.0
2018-01-31,166.55,168.43,166.33,166.56,56353,33.697782362042176,1.3023198336380466,1268161,-0.029843888542302237,-0.20913099961489934,5.0,0,1,0.09590047955972768,0.15466769459969568,1347.0
2018-02-01,167.13,169.61,162.62,169.38,65705,38.167938931297606,1.1267784193571928,1333866,-0.012898913101729297,-0.09034154864960442,6.0,0,0,0.10878041261015993,0.10393059711497388,2429.0
2018-02-02,167.29,167.4,160.07,160.4,76020,36.68614357262097,1.5305301208566437,1257846,-0.06283456084799065,-0.43895560556532587,7.0,0,0,0.10376071259604687,0.09596913197957163,2154.0
2018-02-05,158.7,163.85,155.64,156.0,74545,35.92612460724955,1.9804329051691902,1183301,-0.08536650604540241,-0.5942906798568686,8.0,0,1,0.10979221564382373,0.11453691004614742,1387.0
2018-02-06,154.49,163.7,153.97,162.8,76674,47.577092511013205,1.7164060047620597,1259975,-0.0437917710983797,-0.3043184963330816,9.0,0,0,0.1015343111333657,0.12294666722657607,1274.0
2018-02-07,162.54,163.03,158.73,158.86,74000,47.577092511013205,1.7002322084157608,1185975,-0.0644778238569039,-0.4468942415749382,10.0,0,0,0.11015299453457214,0.12684833139635202,1173.0
2018-02-08,160.47,160.99,155.02,156.03,75003,50.613702298594035,1.7655430131504248,1110972,-0.07821038699971385,-0.540349369356278,11.0,0,1,0.1202020026643658,0.14239940613991514,992.0
2018-02-09,156.27,157.87,150.22,156.08,71416,43.71923544077223,1.6906841854639456,1182388,-0.07508894180330164,-0.5171984136952688,12.0,0,1,0.11225804828245683,0.13130901756205499,859.0
2018-02-12,158.86,163.88,156.98,162.83,73980,50.75491573033709,1.1004622123313155,1256368,-0.033759669834036644,-0.2322102406091915,13.0,0,1,0.11550226035882585,0.1384487376878325,863.0
2018-02-13,162.01,164.74,161.38,164.19,69789,48.17551963048498,0.5596300469982278,1326157,-0.024706834470576963,-0.16977062333037907,14.0,0,1,0.12559359634768952,0.1386527864661619,1014.0
